kind,url,name,source_price,live_prices
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=415,Абонемент МУЛЬТИКАРТА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ (рассрочка),11990,[1.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=416,Абонемент МУЛЬТИКАРТА 15 месяцев спецпредложение (рассрочка),10990,[1.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=417,Абонемент 2 недели бесплатно,0,[1.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=418,Абонемент МУЛЬТИКАРТА 12 месяцев (Спецпредложение) рассрочка,10990,[1.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=419,УЛЬТРА 9 месяцев (рассрочка),5495,[1.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=420,Абонемент МУЛЬТИКАРТА 12 месяцев (рассрочка),14990,[1.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=244,Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ,12990,[0.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=247,Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ+подарок,0,[11990.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=262,Абонемент УЛЬТРА 9 месяцев (6 месяцев в подарок),15990,[0.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=272,СУБАРЕНДА 15 посещений,20000,[22000.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=281,УЛЬТРА 9 месяцев (подарок),10990,[14990.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=116,Абонемент в солярий на 100 минут,2000,[2.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=117,Абонемент в солярий на 100+50 минут,1200,[1.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=119,Абонемент в солярий на 50 минут,1500,[1.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=121,АБОНЕМЕНТ ДЖАМПИНГ 12 пос,3600,[3.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=122,АБОНЕМЕНТ ДЖАМПИНГ 8 пос,3480,[3.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=123,"АБОНЕМЕНТ лимфодренажная тренировка (10 посещений),1 мес.",7500,[7.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=124,Абонемент МУЛЬТИ 24 месяцев,23980,[23.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=125,Абонемент МУЛЬТИ 6+6 месяцев,13990,[13.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=131,Абонемент Неделя Фитнес,2500,[2.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=137,АБОНЕМЕНТ САЙКЛ 12 пос без клубной карты,6450,[6.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=138,АБОНЕМЕНТ САЙКЛ 12 пос при наличии клубной карты,3600,[3.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=139,АБОНЕМЕНТ САЙКЛ 8 пос без клубной карты,5400,[5.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=140,АБОНЕМЕНТ САЙКЛ 8 пос при наличии клубной карты,3000,[3.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=141,Абонемент УЛЬТРА 1 МЕСЯЦ 12 посещений,3500,[3.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=142,Абонемент УЛЬТРА 1 МЕСЯЦ 8 посещений,3400,[3.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=144,Абонемент УЛЬТРА 1 МЕСЯЦ БЕЗЛИМИТ,4100,[4.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=146,Абонемент УЛЬТРА 12 + 2 лета в подарок,11990,[11.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=147,Абонемент УЛЬТРА 12 месяцев,11990,[11.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=148,Абонемент УЛЬТРА 12 месяцев (акция 2 мес. в подарок),15990,[15.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=149,"Абонемент УЛЬТРА 12 месяцев (акция 2 мес. в подарок) Ровио,3",13990,[13.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=150,Абонемент УЛЬТРА 12 месяцев (акция 3 мес. в подарок),11990,[11.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=151,"Абонемент УЛЬТРА 12 месяцев (акция 3 мес. в подарок) Ровио,3",15990,[15.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=152,Абонемент УЛЬТРА 12 месяцев (акция 6 мес. в подарок),15990,[15.0]
membership,https://fitnes-imperiya.fitbase.io/ticket/update?id=153,"Абонемент УЛЬТРА 12 месяцев (акция 6 мес. в подарок) Ровио,3",17990,[17.0]
