"schema_name","table_name","approx_rows","column_count"
"dbo","_Enum8898",4,2
"dbo","_Enum9075",4,2
"dbo","_Enum9231",4,2
"dbo","_InfoRg10246",4,7
"dbo","_InfoRg2112",4,5
"dbo","_InfoRg7391",4,9
"dbo","_Reference10041",4,39
"dbo","_Reference26_VT3410",4,6
"dbo","_Reference5055",4,9
"dbo","_Reference5055_VT8086",4,5
"dbo","_Reference6113",4,15
"dbo","_Reference9229",4,16
"dbo","_AccumRgTn3118",3,11
"dbo","_Chrc324",3,7
"dbo","_DynListSettings",3,11
"dbo","_Enum10099",3,2
"dbo","_Enum10238",3,2
"dbo","_Enum10284",3,2
"dbo","_Enum168",3,2
"dbo","_Enum170",3,2
"dbo","_Enum171",3,2
"dbo","_Enum172",3,2
"dbo","_Enum174",3,2
"dbo","_Enum183",3,2
"dbo","_Enum184",3,2
"dbo","_Enum185",3,2
"dbo","_Enum187",3,2
"dbo","_Enum191",3,2
"dbo","_Enum200",3,2
"dbo","_Enum205",3,2
"dbo","_Enum222",3,2
"dbo","_Enum230",3,2
"dbo","_Enum241",3,2
"dbo","_Enum243",3,2
"dbo","_Enum250",3,2
"dbo","_Enum252",3,2
"dbo","_Enum253",3,2
"dbo","_Enum259",3,2
"dbo","_Enum265",3,2
"dbo","_Enum270",3,2
"dbo","_Enum275",3,2
"dbo","_Enum279",3,2
"dbo","_Enum288",3,2
"dbo","_Enum309",3,2
"dbo","_Enum318",3,2
"dbo","_Enum5068",3,2
"dbo","_Enum6142",3,2
"dbo","_Enum6146",3,2
"dbo","_Enum6150",3,2
"dbo","_Enum6151",3,2
"dbo","_Enum6152",3,2
"dbo","_Enum6154",3,2
"dbo","_Enum6156",3,2
"dbo","_Enum6161",3,2
"dbo","_Enum6164",3,2
"dbo","_Enum6174",3,2
"dbo","_Enum6175",3,2
"dbo","_Enum6176",3,2
"dbo","_Enum8343",3,2
"dbo","_Enum8346",3,2
"dbo","_Enum8347",3,2
"dbo","_Enum8896",3,2
"dbo","_Enum9541",3,2
"dbo","_Enum9542",3,2
"dbo","_Enum9543",3,2
"dbo","_InfoRg2307",3,4
"dbo","_Reference107",3,7
"dbo","_Reference30",3,10
"dbo","_Reference35",3,8
"dbo","_Reference82",3,9
"dbo","_AccumRg3111",2,14
"dbo","_Document128",2,18
"dbo","_Document147",2,26
"dbo","_Document161",2,18
"dbo","_Document161_VT1364",2,22
"dbo","_Enum177",2,2
"dbo","_Enum179",2,2
"dbo","_Enum193",2,2
"dbo","_Enum195",2,2
"dbo","_Enum196",2,2
"dbo","_Enum202",2,2
"dbo","_Enum203",2,2
"dbo","_Enum209",2,2
"dbo","_Enum211",2,2
"dbo","_Enum213",2,2
"dbo","_Enum218",2,2
"dbo","_Enum225",2,2
"dbo","_Enum227",2,2
"dbo","_Enum229",2,2
"dbo","_Enum233",2,2
"dbo","_Enum234",2,2
"dbo","_Enum235",2,2
"dbo","_Enum240",2,2
"dbo","_Enum246",2,2
"dbo","_Enum249",2,2
"dbo","_Enum251",2,2
"dbo","_Enum260",2,2
"dbo","_Enum261",2,2
"dbo","_Enum263",2,2
"dbo","_Enum267",2,2
"dbo","_Enum272",2,2
"dbo","_Enum276",2,2
"dbo","_Enum281",2,2
"dbo","_Enum282",2,2
"dbo","_Enum287",2,2
"dbo","_Enum298",2,2
"dbo","_Enum303",2,2
"dbo","_Enum306",2,2
"dbo","_Enum311",2,2
"dbo","_Enum316",2,2
"dbo","_Enum319",2,2
"dbo","_Enum5071",2,2
"dbo","_Enum5072",2,2
"dbo","_Enum5836",2,2
"dbo","_Enum6144",2,2
"dbo","_Enum6162",2,2
"dbo","_Enum6163",2,2
"dbo","_Enum8348",2,2
"dbo","_Enum8895",2,2
"dbo","_Enum9544",2,2
"dbo","_Enum9545",2,2
"dbo","_InfoRg6712",2,8
"dbo","_Reference10237",2,9
"dbo","_Reference111",2,9
"dbo","_Reference38",2,25
"dbo","_Reference6134",2,9
"dbo","_Reference6135",2,8
"dbo","_Reference73",2,42
"dbo","_Reference77",2,11
"dbo","_ScheduledJobs4878",2,16
"dbo","_AccRgOpt4730",1,10
"dbo","_AccSInf4710",1,2
"dbo","_AccumRg3290",1,14
"dbo","_AccumRg3299",1,11
"dbo","_AccumRgAggOptK10170",1,9
"dbo","_AccumRgAggOptK3121",1,9
"dbo","_AccumRgAggOptK3145",1,9
"dbo","_AccumRgAggOptK3178",1,9
"dbo","_AccumRgAggOptK3200",1,9
"dbo","_AccumRgAggOptK3220",1,9
"dbo","_AccumRgAggOptK3261",1,9
"dbo","_AccumRgAggOptK3284",1,9
"dbo","_AccumRgOpt10183",1,10
"dbo","_AccumRgOpt3354",1,10
"dbo","_AccumRgOpt3355",1,10
"dbo","_AccumRgOpt3356",1,10
"dbo","_AccumRgOpt3357",1,10
"dbo","_AccumRgOpt3358",1,10
"dbo","_AccumRgOpt3359",1,10
"dbo","_AccumRgOpt3360",1,10
"dbo","_AccumRgOpt3361",1,10
"dbo","_AccumRgOpt3362",1,10
"dbo","_AccumRgOpt3363",1,10
"dbo","_AccumRgOpt3364",1,10
"dbo","_AccumRgOpt3365",1,10
"dbo","_AccumRgOpt3366",1,10
"dbo","_AccumRgOpt3367",1,10
"dbo","_AccumRgOpt3368",1,10
"dbo","_AccumRgOpt3369",1,10
"dbo","_AccumRgOpt7455",1,10
"dbo","_AccumRgOpt7456",1,10
"dbo","_AccumRgOpt9356",1,10
"dbo","_BPr329_VT4785",1,5
"dbo","_ChrcSInf3376",1,2
"dbo","_ChrcSInf3389",1,2
"dbo","_ChrcSInf3391",1,2
"dbo","_ChrcSInf3392",1,1
"dbo","_ChrcSInf4934",1,2
"dbo","_ChrcSInf7470",1,2
"dbo","_Const10110",1,3
"dbo","_Const10113",1,3
"dbo","_Const10116",1,3
"dbo","_Const10119",1,3
"dbo","_Const10125",1,3
"dbo","_Const10240",1,3
"dbo","_Const10243",1,3
"dbo","_Const10286",1,3
"dbo","_Const10370",1,3
"dbo","_Const10426",1,3
"dbo","_Const10429",1,3
"dbo","_Const1705",1,2
"dbo","_Const1707",1,3
"dbo","_Const1709",1,2
"dbo","_Const1711",1,2
"dbo","_Const1713",1,2
"dbo","_Const1715",1,2
"dbo","_Const1719",1,2
"dbo","_Const1721",1,2
"dbo","_Const1723",1,3
"dbo","_Const1725",1,3
"dbo","_Const1727",1,2
"dbo","_Const1729",1,3
"dbo","_Const1731",1,3
"dbo","_Const1733",1,3
"dbo","_Const1735",1,4
"dbo","_Const1737",1,3
"dbo","_Const1739",1,3
"dbo","_Const1741",1,3
"dbo","_Const1743",1,3
"dbo","_Const1745",1,3
"dbo","_Const1747",1,2
"dbo","_Const1749",1,3
"dbo","_Const1751",1,3
"dbo","_Const1753",1,3
"dbo","_Const1755",1,2
"dbo","_Const1757",1,3
"dbo","_Const1759",1,3
"dbo","_Const1761",1,3
"dbo","_Const1763",1,3
"dbo","_Const1765",1,2
"dbo","_Const1767",1,3
"dbo","_Const1769",1,3
"dbo","_Const1789",1,3
"dbo","_Const1793",1,2
"dbo","_Const1795",1,3
"dbo","_Const1797",1,3
"dbo","_Const1799",1,3
"dbo","_Const1802",1,3
"dbo","_Const1804",1,2
"dbo","_Const1808",1,3
"dbo","_Const1810",1,3
"dbo","_Const1812",1,3
"dbo","_Const1814",1,2
"dbo","_Const1818",1,3
"dbo","_Const1820",1,2
"dbo","_Const1822",1,2
"dbo","_Const1825",1,2
"dbo","_Const1827",1,2
"dbo","_Const1829",1,2
"dbo","_Const1831",1,2
"dbo","_Const1835",1,3
"dbo","_Const1837",1,2
"dbo","_Const1839",1,3
"dbo","_Const1841",1,2
"dbo","_Const1843",1,3
"dbo","_Const1845",1,2
"dbo","_Const1847",1,2
"dbo","_Const1849",1,2
"dbo","_Const1851",1,2
"dbo","_Const1853",1,3
"dbo","_Const1855",1,2
"dbo","_Const1857",1,2
"dbo","_Const1859",1,2
"dbo","_Const1861",1,3
"dbo","_Const1863",1,3
"dbo","_Const1865",1,3
"dbo","_Const1867",1,2
"dbo","_Const1869",1,2
"dbo","_Const1871",1,2
"dbo","_Const1873",1,3
"dbo","_Const1875",1,3
"dbo","_Const1877",1,2
"dbo","_Const1879",1,2
"dbo","_Const1881",1,2
"dbo","_Const1883",1,3
"dbo","_Const1885",1,3
"dbo","_Const1888",1,2
"dbo","_Const1890",1,5
"dbo","_Const1892",1,3
"dbo","_Const1894",1,3
"dbo","_Const1896",1,3
"dbo","_Const1898",1,3
"dbo","_Const1900",1,3
"dbo","_Const1902",1,3
"dbo","_Const1904",1,3
"dbo","_Const1906",1,2
"dbo","_Const1908",1,3
"dbo","_Const1910",1,3
"dbo","_Const1912",1,3
"dbo","_Const1914",1,2
"dbo","_Const1916",1,2
"dbo","_Const1918",1,2
"dbo","_Const1920",1,3
"dbo","_Const1922",1,3
"dbo","_Const1924",1,2
"dbo","_Const1926",1,2
"dbo","_Const1928",1,3
"dbo","_Const1938",1,3
"dbo","_Const1940",1,3
"dbo","_Const1942",1,3
"dbo","_Const1944",1,3
"dbo","_Const1946",1,3
"dbo","_Const1948",1,4
"dbo","_Const1950",1,2
"dbo","_Const1952",1,2
"dbo","_Const1954",1,3
"dbo","_Const1956",1,3
"dbo","_Const1958",1,3
"dbo","_Const1960",1,3
"dbo","_Const1962",1,3
"dbo","_Const1964",1,3
"dbo","_Const1966",1,3
"dbo","_Const1968",1,2
"dbo","_Const1972",1,3
"dbo","_Const1974",1,3
"dbo","_Const1976",1,3
"dbo","_Const1980",1,3
"dbo","_Const1982",1,3
"dbo","_Const1984",1,3
"dbo","_Const1986",1,3
"dbo","_Const1988",1,3
"dbo","_Const1990",1,3
"dbo","_Const1992",1,2
"dbo","_Const1994",1,2
"dbo","_Const1996",1,3
"dbo","_Const1998",1,3
"dbo","_Const2000",1,2
"dbo","_Const2002",1,2
"dbo","_Const2004",1,3
"dbo","_Const2006",1,2
"dbo","_Const2008",1,3
"dbo","_Const2010",1,2
"dbo","_Const2012",1,2
"dbo","_Const2014",1,3
"dbo","_Const2016",1,3
"dbo","_Const2018",1,3
"dbo","_Const2020",1,3
"dbo","_Const2022",1,3
"dbo","_Const2024",1,3
"dbo","_Const2026",1,3
"dbo","_Const2028",1,3
"dbo","_Const2030",1,3
"dbo","_Const2032",1,3
"dbo","_Const2034",1,3
"dbo","_Const2036",1,2
"dbo","_Const2038",1,3
"dbo","_Const2040",1,3
"dbo","_Const2042",1,2
"dbo","_Const5193",1,3
"dbo","_Const5195",1,3
"dbo","_Const5837",1,3
"dbo","_Const5839",1,3
"dbo","_Const5841",1,3
"dbo","_Const6044",1,3
"dbo","_Const6046",1,3
"dbo","_Const6376",1,3
"dbo","_Const6379",1,3
"dbo","_Const6382",1,2
"dbo","_Const6385",1,2
"dbo","_Const6388",1,3
"dbo","_Const6391",1,3
"dbo","_Const6394",1,2
"dbo","_Const6397",1,2
"dbo","_Const6400",1,2
"dbo","_Const6403",1,2
"dbo","_Const6407",1,3
"dbo","_Const6410",1,3
"dbo","_Const6413",1,3
"dbo","_Const6419",1,3
"dbo","_Const6421",1,3
"dbo","_Const6427",1,2
"dbo","_Const6437",1,3
"dbo","_Const6440",1,2
"dbo","_Const6444",1,3
"dbo","_Const6447",1,3
"dbo","_Const6449",1,3
"dbo","_Const6455",1,2
