source,length_bucket,product_name,clients
csv,10_16_18_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 3 месяца в подарок,16
csv,10_16_18_months,Абонемент МУЛЬТИКАРТА 12 месяцев (подарок),11
csv,10_16_18_months,"Холодные 9 900,00 УЛЬТРА 12 месяцев",10
csv,10_16_18_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок (СПЕЦПРЕДЛОЖЕНИЕ),7
csv,11_19_24_months,Абонемент МУЛЬТИ 24 месяцев,148
csv,11_19_24_months,Абонемент МУЛЬТИКАРТА 15 месяцев (3 месяца заморозки в подарок),57
csv,11_19_24_months,Абонемент МУЛЬТИКАРТА 12 месяцев,30
csv,11_19_24_months,Абонемент МУЛЬТИКАРТА+6 месяцев в подарок,30
csv,11_19_24_months,Абонемент УЛЬТРА 12 месяцев,26
csv,11_19_24_months,Абонемент УЛЬТРА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ,20
csv,11_19_24_months,Абонемент УЛЬТРА 12+6 месяцев,16
csv,11_19_24_months,Абонемент УЛЬТРА 12 месяцев (акция 6 мес. в подарок),16
csv,11_19_24_months,Абонемент УЛЬТРА 24 месяца,12
csv,11_19_24_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок,8
csv,11_19_24_months,Абонемент УЛЬТРА 12 + 2 лета в подарок,6
csv,11_19_24_months,"Холодные 9 900,00 УЛЬТРА 12 месяцев",6
csv,11_19_24_months,"Холодные 13 900,00 МУЛЬТИ 24 месяца",5
csv,11_19_24_months,Абонемент УЛЬТРА 12 месяцев (акция 3 мес. в подарок),4
csv,11_19_24_months,Абонемент МУЛЬТИКАРТА 12 месяцев + 2 месяца заморозки в подарок (СПЕЦПРЕДЛОЖЕНИЕ),4
csv,12_24_plus_months,Абонемент МУЛЬТИ 24 месяцев,189
csv,12_24_plus_months,Абонемент УЛЬТРА 24 месяца,54
csv,12_24_plus_months,Абонемент МУЛЬТИКАРТА 12 месяцев,8
csv,12_24_plus_months,Абонемент МУЛЬТИКАРТА+6 месяцев в подарок,7
csv,12_24_plus_months,Абонемент УЛЬТРА 12 месяцев,6
csv,12_24_plus_months,Абонемент МУЛЬТИКАРТА 15 месяцев (3 месяца заморозки в подарок),3
