url,clubs,live_name,source_name,source_cell,source_price,source_number_format,source_xml_value,live_prices,classification,match_basis,catalog_active_purchases,catalog_total_purchases
https://fitnes-imperiya.fitbase.io/services/update?id=120,,Доплата,Доплата,B15,11230,General,11230,0.0,zero,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=121,,Доплата до года,Доплата до года,B16,6890,General,6890,0.0,zero,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=122,,Заморозка абонемента 1 месяц,Заморозка абонемента 1 месяц,B17,0,General,0,0.0,equal,exact_name,0,2
https://fitnes-imperiya.fitbase.io/services/update?id=123,,Заморозка абонемента 14 дней,Заморозка абонемента 14 дней,B18,600,General,600,0.0,zero,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=124,,Перевод из клуба в клуб,Перевод из клуба в клуб,B20,2000,General,2000,0.0,zero,exact_name,0,2
https://fitnes-imperiya.fitbase.io/services/update?id=125,,Переоформление платное абонемента на фитнес,Переоформление платное абонемента на фитнес,B21,0,General,0,0.0,equal,exact_name,0,0
https://fitnes-imperiya.fitbase.io/services/update?id=126,,Подарочный сертификат на сумму 1500,Подарочный сертификат на сумму 1500,B34,1500,General,1500,0.0,zero,exact_name,0,2
https://fitnes-imperiya.fitbase.io/services/update?id=127,,Подарочный сертификат на сумму 3000,Подарочный сертификат на сумму 3000,B36,3000,General,3000,0.0,zero,exact_name,0,1
https://fitnes-imperiya.fitbase.io/services/update?id=128,,Утеря номерка от гардероба,Утеря номерка от гардероба,B42,200,General,200,0.0,zero,exact_name,0,1
https://fitnes-imperiya.fitbase.io/services/update?id=171,,Восстановление пластиковой карты,Восстановление пластиковой карты,B14,500,General,500,0.0,zero,exact_name,0,2
https://fitnes-imperiya.fitbase.io/services/update?id=172,,Медленный класс (персональные тренировки),Медленный класс (персональные тренировки),B46,1300,General,1300,0.0,zero,exact_name,0,1
https://fitnes-imperiya.fitbase.io/services/update?id=9,,Сайкл разовое без клубной карты,Сайкл разовое без клубной карты,B11,1100,General,1100,"1100.0, 300.0",equal,exact_name,0,2
https://fitnes-imperiya.fitbase.io/services/update?id=10,,Сайкл разовое при наличии клубной карты,Сайкл разовое при наличии клубной карты,B12,300,General,300,10.0,other,exact_name,0,5
https://fitnes-imperiya.fitbase.io/services/update?id=167,,Сайкл,,,,,,"30.0, 10.0",unmatched_name,,0,0
