product_ref,product_code,product_name,product_name_norm,observed_clients,observed_sale_rows,observed_subscription_rows,min_duration_days,max_duration_days,avg_duration_days,is_full_subscription_candidate,is_trial_or_guest_candidate,product_class,classification_reason,needs_manual_review
AFC6000C29D830FD11EF98242CB87B33,00000001476,МУЛЬТИКАРТА 6 месяцев + 3 месяца в подарок,мультикарта 6 месяцев + 3 месяца в подарок,3,3,3,196,273,247.333333,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
B05D000C29D830FD11F00BFE1769EF12,00000001589,"Абонемент УЛЬТРА 12 месяцев (акция 2 мес. в подарок) Ровио,3","абонемент ультра 12 месяцев (акция 2 мес. в подарок) ровио,3",28,28,28,2,551,392.607142,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
AA9BA4BF01266AD311E8AABCC0ED0D94,00000000056,Абонемент в солярий на 100 минут,абонемент в солярий на 100 минут,273,542,542,1,259,57.424354,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
B011000C29D830FD11EFD3392E0437FE,00000001547,Абонемент УЛЬТРА 15 месяцев,абонемент ультра 15 месяцев,27,27,27,454,457,455.259259,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
AC0CA4BF01266AD411EC2517A486C8B0,00000000412,Абонемент УЛЬТРА 9 месяцев СПЕЦПРЕДЛОЖЕНИЕ,абонемент ультра 9 месяцев спецпредложение,27,27,27,260,422,285.777777,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
AD93000C29D830FD11EDF560C6769CF4,00000001109,Абонемент УЛЬТРА 12 + 2 лета в подарок,абонемент ультра 12 + 2 лета в подарок,263,264,264,2,2283,464.628787,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
AAA5A4BF01266AD311E92073C42F4D72,00000000123,Абонемент УЛЬТРА 9 месяцев,абонемент ультра 9 месяцев,245,255,255,1,8818,421.384313,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
AA9EA4BF01266AD311E8D82589232D67,00000000085,Абонемент УЛЬТРА 12 месяцев,абонемент ультра 12 месяцев,22219,36380,36380,-7008,9070,505.496151,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
B059000C29D830FD11F0095C4A7DDB10,00000001580,Абонемент МУЛЬТИКАРТА 12 месяцев (2 месяца в подарок),абонемент мультикарта 12 месяцев (2 месяца в подарок),221,225,225,2,9060,497.533333,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
ABFFA4BF01266AD411EC1ADA324C7F0C,00000000411,Абонемент МУЛЬТИКАРТА 12 месяцев СПЕЦПРЕДЛОЖЕНИЕ,абонемент мультикарта 12 месяцев спецпредложение,2151,2321,2321,1,9115,407.371391,1,0,full_subscription,full keyword + duration >= 30 + no trial/exclude keyword,0
