client_ref,client_id,subscription_ref,candidate_for_funnel,rank_number,auto_rank_reason,manual_override_applied,selection_status,selection_reason,candidate_count
AA9BA4BF01266AD311E8AACDADBAC0D4,000004452,AAABA4BF01266AD311E938F8E6A56D33,reactivation,6,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,7
AA9BA4BF01266AD311E8AACDADBAC0D4,000004452,AAEEDFBBBA95A2594D6C38B9BDB3E3B0,reactivation,7,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,7
AA9BA4BF01266AD311E8AACDADBAC0DA,000004458,AAABA4BF01266AD311E938F8E6A56D34,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,1
AA9BA4BF01266AD311E8AACDADBAC0DC,000004460,BD244D8377A020E649D6A9E061848700,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,2
AA9BA4BF01266AD311E8AACDADBAC0DC,000004460,872FE87247881CA64C2C8CF64ED3A94A,reactivation,2,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,2
AA9BA4BF01266AD311E8AACDADBAC0DE,000004462,AAABA4BF01266AD311E938F8E6A56D37,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,1
AA9BA4BF01266AD311E8AACDADBAC0DF,000004463,AAABA4BF01266AD311E938F8E6A56D38,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,1
AA9BA4BF01266AD311E8AACDADBAC0E2,000004466,80C3255DA6463DD84A76C5D2864BE722,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,3
AA9BA4BF01266AD311E8AACDADBAC0E2,000004466,BD13C665ADF7AF524DAEC10B655CB50D,reactivation,2,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,3
AA9BA4BF01266AD311E8AACDADBAC0E2,000004466,AAABA4BF01266AD311E938F8E6A56D39,reactivation,3,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,3
AA9BA4BF01266AD311E8AACDADBAC0E3,000004467,AC90A07A36F926B24CB4BCC0BC2D9654,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,4
AA9BA4BF01266AD311E8AACDADBAC0E3,000004467,9306E25411DF685443212800163392AC,reactivation,2,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,4
AA9BA4BF01266AD311E8AACDADBAC0E3,000004467,BD46BFE42F7C3365419178E5FCDDD418,reactivation,3,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,4
AA9BA4BF01266AD311E8AACDADBAC0E3,000004467,AAABA4BF01266AD311E938F5C055BC20,reactivation,4,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,4
AA9BA4BF01266AD311E8AACDADBAC0E6,000004470,AADDA4BF01266AD411EAA9807519853E,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,5
AA9BA4BF01266AD311E8AACDADBAC0E6,000004470,938C1EACAC294AE84D58D5C1FD6D8B4E,reactivation,2,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,5
AA9BA4BF01266AD311E8AACDADBAC0E6,000004470,9116ACC825ADB7B54383AD5B47064FD6,reactivation,3,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,5
AA9BA4BF01266AD311E8AACDADBAC0E6,000004470,936FA143B9A563AF47E3B364B7F32F24,reactivation,4,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,5
AA9BA4BF01266AD311E8AACDADBAC0E6,000004470,AAABA4BF01266AD311E938F5C055BC21,reactivation,5,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,5
AA9BA4BF01266AD311E8AACDADBAC0E8,000004472,9218D1371BC8ECE24B99128FC8C010A9,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,2
AA9BA4BF01266AD311E8AACDADBAC0E8,000004472,8A2CC11232F0DF8F4EEFF910BF9F1D13,reactivation,2,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,2
AA9BA4BF01266AD311E8AACDADBAC0ED,000004477,AAABA4BF01266AD311E938F8E6A56D3A,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,1
AA9BA4BF01266AD311E8AACDADBAC0EF,000004479,BFF48427BFB5075E4427A08BCDB543D2,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,1
AA9BA4BF01266AD311E8AACDADBAC0F1,000004481,A1AACBE6BEED06904C9134B1809F6276,active,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,1
AA9BA4BF01266AD311E8AACDADBAC0F1,000004481,97D64FC78832B2724EAAEF7C19667A00,reactivation,1,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,selected,top-ranked candidate,6
AA9BA4BF01266AD311E8AACDADBAC0F1,000004481,A85E6B3DD275D4ED4CA9AF813BB88AA9,reactivation,2,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,6
AA9BA4BF01266AD311E8AACDADBAC0F1,000004481,879624B3C38BA9BE4FF2B8930DE6D8BD,reactivation,3,"end_date DESC, start_date DESC, sale_date DESC, subscription_ref DESC",0,not_selected,lower-ranked candidate,6
